Manufacturer,Model,Sales_in_thousands,__year_resale_value,Vehicle_type,Price,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor
Oldsmobile,Aurora,14.69,19.89,Passenger,36229.0,4.0,250.0,113.8,74.4,205.4,3.967,18.5,22.0,2/18/2011,103.4416926
Oldsmobile,Bravada,20.017,19.925,Car,31598.0,4.3,190.0,107.0,67.8,181.2,4.068,17.5,19.0,9/21/2011,80.51167259
Oldsmobile,Silhouette,24.361,15.24,Car,25345.0,3.4,185.0,120.0,72.2,201.4,3.948,25.0,22.0,6/25/2011,76.09657042
Plymouth,Neon,32.734,7.75,Passenger,12640.0,2.0,132.0,105.0,74.4,174.4,2.559,12.5,29.0,4/26/2011,52.08489875
Plymouth,Breeze,5.24,9.8,Passenger,16080.0,2.0,132.0,108.0,71.0,186.3,2.942,16.0,27.0,11/14/2011,53.41189767
Plymouth,Voyager,24.155,12.025,Car,18850.0,2.4,150.0,113.3,76.8,186.3,3.528,20.0,24.0,4/24/2011,60.95118512
Plymouth,Prowler,1.872,,Passenger,43000.0,3.5,253.0,113.3,76.3,165.4,2.85,12.0,21.0,6/27/2012,106.9844563
Pontiac,Sunfire,51.645,13.79,Passenger,21610.0,2.4,150.0,104.1,68.4,181.9,2.906,15.0,27.0,1/25/2012,62.0158703
Pontiac,Grand Am,131.097,10.29,Passenger,19720.0,3.4,175.0,107.0,70.4,186.3,3.091,15.2,25.0,11/26/2012,70.38973726
,Firebird,19.911,17.805,Passenger,25310.0,3.8,200.0,101.1,74.5,193.4,3.492,16.8,25.0,6/16/2012,81.49272616
Pontiac,Grand Prix,92.364,14.01,Passenger,21665.0,3.8,195.0,110.5,72.7,196.5,3.396,18.0,25.0,10/15/2012,78.31816813
Pontiac,Bonneville,35.945,13.225,Passenger,23755.0,3.8,205.0,112.2,72.6,202.5,3.59,17.5,24.0,5/18/2011,82.6613556
Pontiac,Montana,39.572,,Car,25635.0,3.4,185.0,120.0,72.7,201.3,3.942,25.0,23.0,7/22/2012,76.20843952
Porsche,Boxter,8.982,41.25,Passenger,41430.0,2.7,217.0,95.2,70.1,171.0,2.778,17.0,22.0,2/19/2012,93.4373307
Porsche,Carrera Coupe,1.28,60.625,Passenger,71020.0,3.4,300.0,92.6,69.5,174.5,3.032,17.0,21.0,12/21/2012,134.3909754
Porsche,Carrera Cabrio,1.866,67.55,Passenger,74970.0,3.4,300.0,92.6,69.5,174.5,3.075,17.0,23.0,7/11/2011,135.9147096
Saab,5-Sep,9.191,,Passenger,33120.0,2.3,170.0,106.4,70.6,189.2,3.28,18.5,23.0,11/9/2012,73.50377819
Saab,3-Sep,12.115,,Passenger,26100.0,2.0,185.0,102.6,67.4,182.2,2.99,16.9,23.0,6-12-2011,76.02304771
Saturn,SL,80.62,9.2,Passenger,10685.0,1.9,100.0,102.4,66.4,176.9,2.332,12.1,33.0,8/16/2012,39.98642475
Saturn,SC,24.546,10.59,Passenger,12535.0,1.9,100.0,102.4,66.4,180.0,2.367,12.1,33.0,3/16/2011,40.70007242
Saturn,SW,5.223,10.79,,14290.0,1.9,124.0,102.4,66.4,176.9,2.452,12.1,31.0,1/15/2011,49.86577367
Saturn,LW,8.472,,Passenger,18835.0,2.2,137.0,106.5,69.0,190.4,3.075,13.1,27.0,8/5/2011,56.29524304
Saturn,LS,49.989,,Passenger,15010.0,2.2,137.0,106.5,69.0,190.4,2.91,13.1,28.0,12/4/2012,54.81972825
Subaru,Outback,47.107,,Passenger,22695.0,2.5,165.0,103.5,67.5,185.8,3.415,16.9,25.0,7/7/2011,67.7659076
Subaru,Forester,33.028,,Car,20095.0,2.5,165.0,99.4,68.3,175.2,3.125,15.9,24.0,9/10/2012,66.76294331
Toyota,Corolla,142.535,10.025,,13108.0,1.8,120.0,97.0,66.7,174.0,2.42,13.2,33.0,4/11/2011,47.96897242
Toyota,Camry,247.994,13.245,Passenger,17518.0,2.2,133.0,105.2,70.1,188.5,2.998,18.5,27.0,2/10/2011,54.37241965
Toyota,Avalon,63.849,18.14,Passenger,25545.0,3.0,210.0,107.1,71.7,191.9,3.417,18.5,26.0,8/31/2011,84.91189826
Toyota,Celica,33.269,15.445,Passenger,16875.0,1.8,140.0,102.4,68.3,170.5,2.425,14.5,31.0,12/29/2012,56.49603034
Toyota,Tacoma,84.087,9.575,Car,11528.0,2.4,142.0,103.3,66.5,178.7,2.58,15.1,23.0,8/1/2011,55.29711658
Toyota,Sienna,65.119,,Car,22368.0,3.0,194.0,114.2,73.4,193.5,3.759,20.9,22.0,10/5/2012,78.02721947
Toyota,RAV4,25.106,13.325,Car,16888.0,2.0,127.0,94.9,66.7,163.8,2.668,15.3,27.0,5/6/2011,51.95510887
Toyota,4Runner,68.411,19.425,Car,22288.0,2.7,150.0,105.3,66.5,183.3,3.44,18.5,23.0,3/7/2011,62.35557713
Toyota,Land Cruiser,9.835,34.08,Car,51728.0,4.7,230.0,112.2,76.4,192.5,5.115,25.4,15.0,9/25/2011,102.5289842
Volkswagen,Golf,9.761,11.425,Passenger,14900.0,2.0,115.0,98.9,68.3,163.3,2.767,14.5,26.0,1/24/2011,46.94387676
,Jetta,83.721,13.24,Passenger,16700.0,2.0,115.0,98.9,68.3,172.3,2.853,14.5,26.0,8/27/2011,47.63823666
Volkswagen,Passat,51.102,16.725,Passenger,21200.0,1.8,150.0,106.4,68.5,184.1,3.043,16.4,27.0,10/30/2012,61.70138136
Volkswagen,Cabrio,9.569,16.575,Passenger,19990.0,2.0,115.0,97.4,66.7,160.4,3.079,13.7,26.0,5-31/2011,48.90737225
Volkswagen,GTI,5.596,13.76,Passenger,17500.0,2.0,115.0,98.9,68.3,163.3,2.762,14.6,26.0,4/1/2011,47.94684106
Volkswagen,Beetle,49.463,,,15900.0,2.0,115.0,98.9,67.9,161.1,2.769,14.5,26.0,10/20/2011,47.32963226
Volvo,S40,16.957,,Passenger,23400.0,1.9,160.0,100.5,67.6,176.6,2.998,15.8,25.0,2/18/2011,66.1130568
,V40,3.545,,Passenger,24400.0,1.9,160.0,100.5,67.6,176.6,3.042,15.8,25.0,9/21/2011,66.4988123
Volvo,S70,15.245,,Passenger,27500.0,2.4,168.0,104.9,69.3,185.9,3.208,17.9,25.0,11/24/2012,70.65449545
Volvo,V70,17.531,,Passenger,28800.0,2.4,168.0,104.9,69.3,186.2,3.259,17.9,25.0,6/25/2011,71.1559776
Volvo,C70,3.493,,Passenger,45500.0,2.3,236.0,104.9,71.5,185.7,3.601,18.5,23.0,4/26/2011,101.6233572
Volvo,S80,18.969,,Passenger,36000.0,2.9,201.0,109.9,72.1,189.8,3.6,21.1,24.0,11/14/2011,85.73565451
